Ind	Poss_Paralogs	Low_Coverage/Errors	Miss_Genotype	Total_Failed	Total_Loci	Prop_Success
BMA_1B-B05_LA-050	3	85	12	100	6048	0.983465608465608
BMA_1B-B06_LA-062	4	82	13	99	6048	0.983630952380952
BMA_1B-B07_LA-073	28	76	3	107	6048	0.982308201058201
BMA_1B-B08_LA-083	7	89	66	162	6048	0.973214285714286
BMA_1B-B09_LA-127	31	89	31	151	6048	0.975033068783069
BMA_1B-B10_LA-128	5	85	17	107	6048	0.982308201058201
BMA_1B-B11_LA-129	6	94	54	154	6048	0.974537037037037
BMA_1B-B12_LA-130	12	87	14	113	6048	0.981316137566138
BMA_1B-C03_MS-20	45	88	54	187	6048	0.969080687830688
BMA_1B-C04_MS-21	23	91	38	152	6048	0.974867724867725
BMA_1B-C05_MS-22	56	88	43	187	6048	0.969080687830688
BMA_1B-C06_MS-23	21	85	42	148	6048	0.975529100529101
BMA_1B-C07_MS-51	74	84	92	250	6048	0.958664021164021
BMA_1B-C08_MS-52	22	87	125	234	6048	0.961309523809524
BMA_1B-C12_MS-56	47	86	4	137	6048	0.977347883597884
BMA_1B-D01_CC-26	7	80	14	101	6048	0.983300264550265
BMA_1B-D02_CC-29	29	80	6	115	6048	0.98098544973545
BMA_1B-E01_MB-01	24	81	6	111	6048	0.981646825396825
BMA_1B-E02_MB-02	10	82	11	103	6048	0.982969576719577
BMA_1B-E03_MB-03	28	81	6	115	6048	0.98098544973545
BMA_1B-E04_MB-04	18	83	14	115	6048	0.98098544973545
BMA_1B-E05_MB-05	16	95	18	129	6048	0.978670634920635
BMA_1B-E06_MB-06	7	87	17	111	6048	0.981646825396825
BMA_1B-E07_MB-07	33	73	28	134	6048	0.977843915343915
BMA_1B-E08_MB-08	14	86	16	116	6048	0.980820105820106
BMA_1B-E09_MB-09	26	90	11	127	6048	0.979001322751323
BMA_1B-E10_MB-10	18	85	6	109	6048	0.981977513227513
BMA_1B-E11_MB-11	17	83	14	114	6048	0.981150793650794
BMA_1B-E12_MB-12	51	81	4	136	6048	0.977513227513228
BMA_1B-F02_CS-14	11	82	4	97	6048	0.98396164021164
BMA_1B-F04_CS-16	14	92	41	147	6048	0.975694444444444
BMA_1B-F05_CS-17	6	82	10	98	6048	0.983796296296296
BMA_1B-F06_CS-18	12	80	17	109	6048	0.981977513227513
BMA_1B-F07_CS-19	17	89	68	174	6048	0.971230158730159
BMA_1B-F08_CS-20	78	106	365	549	6048	0.90922619047619
BMA_1B-F09_CS-21	5	86	9	100	6048	0.983465608465608
BMA_1B-F10_CS-22	28	74	1	103	6048	0.982969576719577
BMA_1B-F11_CS-23	35	84	25	144	6048	0.976190476190476
BMA_1B-F12_CS-24	22	83	11	116	6048	0.980820105820106
BMA_1B-G01_811-009	11	85	14	110	6048	0.981812169312169
BMA_1B-G02_811-010	34	89	8	131	6048	0.978339947089947
BMA_1B-G03_811-011	6	84	18	108	6048	0.982142857142857
BMA_1B-G04_CC-01	7	91	15	113	6048	0.981316137566138
BMA_1B-G05_CC-02	74	84	7	165	6048	0.972718253968254
BMA_1B-G06_CC-03	3	85	14	102	6048	0.983134920634921
BMA_1B-G07_CC-04	21	81	19	121	6048	0.979993386243386
BMA_1B-G08_CC-05	23	85	16	124	6048	0.979497354497355
